defect_type,image_name,original_width,original_height,original_defect_pixels,cropped_defect_pixels,retention_ratio,loss_ratio,fully_lost
huashang,000033.png,952,576,3889,315,0.080998,0.919002,False
huashang,000034.png,952,576,4298,161,0.037459,0.962541,False
huashang,000035.png,952,576,3852,358,0.092939,0.907061,False
huashang,000036.png,952,576,2116,0,0.000000,1.000000,True
huashang,000037.png,952,576,4229,552,0.130527,0.869473,False
huashang,000038.png,952,576,6239,881,0.141209,0.858791,False
huashang,000039.png,952,576,7653,1105,0.144388,0.855612,False
huashang,000040.png,952,576,9211,937,0.101726,0.898274,False
huashang,000041.png,952,576,3910,467,0.119437,0.880563,False
huashang,000042.png,952,576,5896,581,0.098541,0.901459,False
huashang,000043.png,952,576,2939,129,0.043892,0.956108,False
huashang,000044.png,952,576,5216,255,0.048888,0.951112,False
huashang,000045.png,952,576,3252,151,0.046433,0.953567,False
huashang,000046.png,952,576,3875,336,0.086710,0.913290,False
huashang,000047.png,952,576,17394,2463,0.141601,0.858399,False
huashang,000048.png,952,576,6789,852,0.125497,0.874503,False
huashang,000049.png,952,576,10280,1209,0.117607,0.882393,False
huashang,000050.png,952,576,7577,1014,0.133826,0.866174,False
huashang,000051.png,952,576,3423,11,0.003214,0.996786,False
huashang,000052.png,952,576,9083,734,0.080810,0.919190,False
huashang,000053.png,952,576,4986,650,0.130365,0.869635,False
huashang,000054.png,952,576,8809,1304,0.148030,0.851970,False
huashang,000055.png,952,576,11502,1663,0.144584,0.855416,False
huashang,000056.png,952,576,7727,1028,0.133040,0.866960,False
huashang,000057.png,952,576,7227,894,0.123703,0.876297,False
huashang,000058.png,1024,1024,5503,322,0.058514,0.941486,False
huashang,000059.png,1024,1024,7253,456,0.062871,0.937129,False
huashang,000060.png,1024,1024,4467,263,0.058876,0.941124,False
huashang,000061.png,1024,1024,4274,256,0.059897,0.940103,False
huashang,000062.png,1024,1024,7757,484,0.062395,0.937605,False
huashang,000063.png,1024,1024,7933,466,0.058742,0.941258,False
huashang,000064.png,1024,1024,7219,398,0.055132,0.944868,False
huashang,000065.png,1024,1024,8649,550,0.063591,0.936409,False
huashang,000066.png,1024,1024,6126,348,0.056807,0.943193,False
huashang,000067.png,1024,1024,8480,497,0.058608,0.941392,False
huashang,000068.png,1024,1024,4168,238,0.057102,0.942898,False
huashang,000069.png,1024,1024,4628,263,0.056828,0.943172,False
huashang,000070.png,1024,1024,6646,384,0.057779,0.942221,False
huashang,000071.png,1024,1024,5461,315,0.057682,0.942318,False
huashang,000072.png,1024,1024,8261,476,0.057620,0.942380,False
huashang,000073.png,1024,1024,6386,379,0.059349,0.940651,False
huashang,000074.png,1024,1024,1422,89,0.062588,0.937412,False
huashang,000075.png,1024,1024,5029,298,0.059256,0.940744,False
huashang,000076.png,1024,1024,8609,518,0.060170,0.939830,False
huashang,000077.png,1024,1024,7046,407,0.057763,0.942237,False
huashang,000078.png,1024,1024,5488,321,0.058491,0.941509,False
huashang,000079.png,1024,1024,11830,692,0.058495,0.941505,False
huashang,000080.png,1024,1024,6152,378,0.061443,0.938557,False
huashang,000081.png,1024,1024,5663,330,0.058273,0.941727,False
huashang,000082.png,1024,1024,11170,647,0.057923,0.942077,False
huashang,000083.png,1024,1024,7033,407,0.057870,0.942130,False
huashang,000084.png,1024,1024,11366,661,0.058156,0.941844,False
huashang,000085.png,1024,1024,10436,611,0.058547,0.941453,False
huashang,000086.png,1024,1024,10621,609,0.057339,0.942661,False
huashang,000087.png,952,576,12523,1363,0.108840,0.891160,False
huashang,000088.png,952,576,6958,837,0.120293,0.879707,False
huashang,000089.png,952,576,7258,835,0.115045,0.884955,False
huashang,000090.png,952,576,12371,1498,0.121090,0.878910,False
huashang,000091.png,952,576,13490,1570,0.116383,0.883617,False
huashang,000092.png,952,576,13996,1934,0.138182,0.861818,False
huashang,000093.png,952,576,5599,819,0.146276,0.853724,False
huashang,000094.png,952,576,10616,1434,0.135079,0.864921,False
huashang,000095.png,952,576,4894,550,0.112383,0.887617,False
huashang,000096.png,952,576,10326,1376,0.133256,0.866744,False
huashang,000097.png,952,576,3540,200,0.056497,0.943503,False
huashang,000098.png,952,576,9823,1352,0.137636,0.862364,False
huashang,000099.png,952,576,2940,193,0.065646,0.934354,False
huashang,000100.png,952,576,5796,808,0.139406,0.860594,False
huashang,000101.png,952,576,6066,806,0.132872,0.867128,False
huashang,000102.png,952,576,8558,888,0.103763,0.896237,False
huashang,000103.png,952,576,7164,964,0.134562,0.865438,False
huashang,000104.png,952,576,12150,1498,0.123292,0.876708,False
huashang,000105.png,952,576,4441,278,0.062599,0.937401,False
huashang,000106.png,1024,1024,4690,270,0.057569,0.942431,False
huashang,000107.png,1024,1024,5882,326,0.055423,0.944577,False
huashang,000108.png,1024,1024,8516,493,0.057891,0.942109,False
huashang,000109.png,1024,1024,10825,613,0.056628,0.943372,False
huashang,000110.png,1024,1024,4323,248,0.057368,0.942632,False
huashang,000111.png,1024,1024,5479,297,0.054207,0.945793,False
huashang,000112.png,1024,1024,5395,337,0.062465,0.937535,False
huashang,000113.png,1024,1024,8369,483,0.057713,0.942287,False
huashang,000114.png,1024,1024,2524,112,0.044374,0.955626,False
huashang,000115.png,1024,1024,4452,257,0.057727,0.942273,False
huashang,000116.png,1024,1024,6111,336,0.054983,0.945017,False
huashang,000117.png,1024,1024,1872,116,0.061966,0.938034,False
huashang,000118.png,1024,1024,500,23,0.046000,0.954000,False
huashang,000119.png,1024,1024,6121,358,0.058487,0.941513,False
huashang,000120.png,1024,1024,6979,381,0.054592,0.945408,False
huashang,000121.png,1024,1024,2080,110,0.052885,0.947115,False
huashang,000122.png,1024,1024,2035,91,0.044717,0.955283,False
huashang,000123.png,1024,1024,5227,302,0.057777,0.942223,False
huashang,000124.png,1024,1024,2684,141,0.052534,0.947466,False
huashang,000125.png,1024,1024,4702,276,0.058698,0.941302,False
huashang,000126.png,1024,1024,7014,382,0.054463,0.945537,False
huashang,000127.png,1024,1024,3331,173,0.051936,0.948064,False
huashang,000128.png,1024,1024,8723,486,0.055715,0.944285,False
huashang,000129.png,1024,1024,10718,615,0.057380,0.942620,False
huashang,000130.png,1024,1024,4936,281,0.056929,0.943071,False
huashang,000131.png,1024,1024,5737,330,0.057521,0.942479,False
huashang,000132.png,1024,1024,6259,364,0.058156,0.941844,False
