defect_type,image_name,original_width,original_height,original_defect_pixels,letterbox_defect_pixels,scale,new_width,new_height,pad_left,pad_top,fully_lost
aotu,000068.png,1024,1024,52554,3278,0.250000,256,256,0,0,False
aotu,000069.png,1024,1024,27140,1692,0.250000,256,256,0,0,False
aotu,000070.png,1024,1024,16108,997,0.250000,256,256,0,0,False
aotu,000071.png,1024,1024,18434,1135,0.250000,256,256,0,0,False
aotu,000072.png,1024,1024,46831,2929,0.250000,256,256,0,0,False
aotu,000073.png,1024,1024,53880,3377,0.250000,256,256,0,0,False
aotu,000074.png,1024,1024,59420,3723,0.250000,256,256,0,0,False
aotu,000075.png,1024,1024,19886,1244,0.250000,256,256,0,0,False
aotu,000076.png,1024,1024,24484,1542,0.250000,256,256,0,0,False
aotu,000077.png,1024,1024,23435,1454,0.250000,256,256,0,0,False
aotu,000078.png,1024,1024,6725,421,0.250000,256,256,0,0,False
aotu,000079.png,1024,1024,16611,1037,0.250000,256,256,0,0,False
bianxing,000000.png,1024,1024,17571,1083,0.250000,256,256,0,0,False
bianxing,000001.png,1024,1024,58512,3675,0.250000,256,256,0,0,False
bianxing,000002.png,1024,1024,23036,1442,0.250000,256,256,0,0,False
bianxing,000003.png,768,288,1702,194,0.333333,256,96,0,80,False
bianxing,000004.png,768,288,4967,544,0.333333,256,96,0,80,False
bianxing,000005.png,768,288,4164,454,0.333333,256,96,0,80,False
bianxing,000006.png,1024,1024,10155,632,0.250000,256,256,0,0,False
bianxing,000007.png,1024,1024,55362,3458,0.250000,256,256,0,0,False
bianxing,000008.png,1024,1024,25474,1583,0.250000,256,256,0,0,False
bianxing,000009.png,1024,1024,68047,4240,0.250000,256,256,0,0,False
bianxing,000010.png,1024,1024,60406,3786,0.250000,256,256,0,0,False
bianxing,000011.png,1024,1024,29907,1856,0.250000,256,256,0,0,False
bianxing,000012.png,1024,1024,76848,4803,0.250000,256,256,0,0,False
bianxing,000013.png,1024,1024,32473,2019,0.250000,256,256,0,0,False
bianxing,000014.png,1024,1024,16571,1004,0.250000,256,256,0,0,False
bianxing,000015.png,1024,1024,6057,358,0.250000,256,256,0,0,False
bianxing,000016.png,1024,1024,12391,769,0.250000,256,256,0,0,False
bianxing,000017.png,1024,1024,34587,2149,0.250000,256,256,0,0,False
bianxing,000018.png,1024,1024,53554,3336,0.250000,256,256,0,0,False
bianxing,000019.png,1024,1024,11249,706,0.250000,256,256,0,0,False
bianxing,000020.png,1024,1024,29130,1809,0.250000,256,256,0,0,False
bianxing,000021.png,1024,1024,110513,6904,0.250000,256,256,0,0,False
bianxing,000022.png,1024,1024,31123,1941,0.250000,256,256,0,0,False
bianxing,000023.png,1024,1024,65084,4063,0.250000,256,256,0,0,False
bianxing,000024.png,1024,1024,163910,10254,0.250000,256,256,0,0,False
bianxing,000025.png,1024,1024,60260,3758,0.250000,256,256,0,0,False
bianxing,000026.png,1024,1024,55568,3487,0.250000,256,256,0,0,False
bianxing,000027.png,1024,1024,49003,3052,0.250000,256,256,0,0,False
bianxing,000028.png,1024,1024,87303,5471,0.250000,256,256,0,0,False
bianxing,000029.png,1024,1024,92255,5770,0.250000,256,256,0,0,False
bianxing,000030.png,1024,1024,33512,2091,0.250000,256,256,0,0,False
bianxing,000031.png,1024,1024,29528,1849,0.250000,256,256,0,0,False
bianxing,000032.png,1024,1024,21918,1379,0.250000,256,256,0,0,False
bianxing,000033.png,1024,1024,10002,620,0.250000,256,256,0,0,False
bianxing,000034.png,1024,1024,78809,4933,0.250000,256,256,0,0,False
bianxing,000035.png,1024,1024,90838,5700,0.250000,256,256,0,0,False
bianxing,000036.png,1024,1024,23631,1492,0.250000,256,256,0,0,False
bianxing,000037.png,1024,1024,78961,4952,0.250000,256,256,0,0,False
bianxing,000038.png,952,576,2865,207,0.268908,256,155,0,50,False
bianxing,000039.png,952,576,41468,2993,0.268908,256,155,0,50,False
fabai,000000.png,1024,1024,2280,132,0.250000,256,256,0,0,False
fabai,000001.png,1024,1024,1235,77,0.250000,256,256,0,0,False
fabai,000002.png,1024,1024,2810,179,0.250000,256,256,0,0,False
fabai,000003.png,1024,1024,2701,172,0.250000,256,256,0,0,False
fabai,000004.png,1024,1024,4102,264,0.250000,256,256,0,0,False
fabai,000005.png,400,288,17502,7128,0.640000,256,184,0,36,False
fabai,000006.png,1024,1024,8442,527,0.250000,256,256,0,0,False
fabai,000007.png,1024,1024,5300,325,0.250000,256,256,0,0,False
fabai,000008.png,1024,1024,17303,1063,0.250000,256,256,0,0,False
fabai,000009.png,1024,1024,2228,139,0.250000,256,256,0,0,False
fabai,000010.png,1024,1024,4365,282,0.250000,256,256,0,0,False
fabai,000011.png,1024,1024,26892,1679,0.250000,256,256,0,0,False
fabai,000012.png,1024,1024,18600,1161,0.250000,256,256,0,0,False
fabai,000013.png,1024,1024,5348,330,0.250000,256,256,0,0,False
fabai,000014.png,1024,1024,2085,134,0.250000,256,256,0,0,False
fabai,000015.png,1024,1024,18158,1123,0.250000,256,256,0,0,False
fabai,000016.png,1024,1024,13482,841,0.250000,256,256,0,0,False
fabai,000017.png,1024,1024,10827,670,0.250000,256,256,0,0,False
fabai,000018.png,1024,1024,7244,456,0.250000,256,256,0,0,False
fabai,000019.png,1024,1024,2820,176,0.250000,256,256,0,0,False
fabai,000020.png,1024,1024,12357,774,0.250000,256,256,0,0,False
fabai,000021.png,1024,1024,19940,1261,0.250000,256,256,0,0,False
fabai,000022.png,1024,1024,22404,1415,0.250000,256,256,0,0,False
fabai,000023.png,1024,1024,26542,1664,0.250000,256,256,0,0,False
fabai,000024.png,1024,1024,2975,182,0.250000,256,256,0,0,False
fabai,000025.png,1024,1024,14543,906,0.250000,256,256,0,0,False
fabai,000026.png,1024,1024,2654,165,0.250000,256,256,0,0,False
fabai,000027.png,1024,1024,6391,402,0.250000,256,256,0,0,False
fabai,000028.png,1024,1024,3125,194,0.250000,256,256,0,0,False
fabai,000029.png,1024,1024,2237,138,0.250000,256,256,0,0,False
fabai,000030.png,1024,1024,6636,415,0.250000,256,256,0,0,False
fabai,000031.png,600,576,22537,4105,0.426667,256,246,0,5,False
fabai,000032.png,600,576,47667,8655,0.426667,256,246,0,5,False
fabai,000033.png,688,288,44372,6181,0.372093,256,107,0,74,False
fabai,000034.png,688,288,40765,5707,0.372093,256,107,0,74,False
fabai,000035.png,688,288,38528,5304,0.372093,256,107,0,74,False
fabai,000036.png,688,288,40392,5611,0.372093,256,107,0,74,False
fabai,000037.png,1024,1024,11148,696,0.250000,256,256,0,0,False
fabai,000038.png,1024,1024,10589,660,0.250000,256,256,0,0,False
fabai,000039.png,1024,1024,22175,1379,0.250000,256,256,0,0,False
fabai,000040.png,1024,1024,7740,483,0.250000,256,256,0,0,False
fabai,000041.png,1024,1024,1692,96,0.250000,256,256,0,0,False
fabai,000042.png,1024,1024,19053,1194,0.250000,256,256,0,0,False
fabai,000043.png,1024,1024,303192,18939,0.250000,256,256,0,0,False
fabai,000044.png,1024,1024,370322,23147,0.250000,256,256,0,0,False
fabai,000045.png,1024,1024,325885,20341,0.250000,256,256,0,0,False
fabai,000046.png,688,288,26609,3685,0.372093,256,107,0,74,False
fabai,000047.png,688,288,46102,6515,0.372093,256,107,0,74,False
fabai,000048.png,688,288,18064,2477,0.372093,256,107,0,74,False
fabai,000049.png,688,288,36991,5154,0.372093,256,107,0,74,False
fabai,000050.png,688,288,43283,5987,0.372093,256,107,0,74,False
fabai,000051.png,1024,1024,2376,149,0.250000,256,256,0,0,False
fabai,000052.png,1024,1024,13915,876,0.250000,256,256,0,0,False
fabai,000053.png,1024,1024,19108,1195,0.250000,256,256,0,0,False
fabai,000054.png,1024,1024,345925,21696,0.250000,256,256,0,0,False
fabai,000055.png,1024,1024,420651,26290,0.250000,256,256,0,0,False
fabai,000056.png,1024,1024,369565,23098,0.250000,256,256,0,0,False
fabai,000057.png,1024,1024,413755,25877,0.250000,256,256,0,0,False
fabai,000058.png,1024,1024,439044,27446,0.250000,256,256,0,0,False
fabai,000059.png,1024,1024,352578,22073,0.250000,256,256,0,0,False
fabai,000060.png,1024,1024,438705,27448,0.250000,256,256,0,0,False
fabai,000061.png,950,800,171844,12553,0.269474,256,216,0,20,False
fabai,000062.png,950,800,170039,12344,0.269474,256,216,0,20,False
fabai,000063.png,950,800,169976,12345,0.269474,256,216,0,20,False
fabai,000064.png,950,800,167953,12284,0.269474,256,216,0,20,False
fabai,000065.png,950,800,56461,4098,0.269474,256,216,0,20,False
fabai,000066.png,950,800,25605,1868,0.269474,256,216,0,20,False
fabai,000067.png,1024,1024,10198,653,0.250000,256,256,0,0,False
fabai,000068.png,1024,1024,2536,158,0.250000,256,256,0,0,False
fabai,000069.png,1024,1024,15098,943,0.250000,256,256,0,0,False
fabai,000070.png,950,800,175663,12839,0.269474,256,216,0,20,False
fabai,000071.png,950,800,31825,2316,0.269474,256,216,0,20,False
fabai,000072.png,950,800,178202,13005,0.269474,256,216,0,20,False
fabai,000073.png,950,800,74457,5402,0.269474,256,216,0,20,False
fabai,000074.png,950,800,164682,11951,0.269474,256,216,0,20,False
fabai,000075.png,950,800,16979,1232,0.269474,256,216,0,20,False
fabai,000076.png,950,800,164308,12003,0.269474,256,216,0,20,False
fabai,000077.png,950,800,165775,12006,0.269474,256,216,0,20,False
fabai,000078.png,950,800,141451,10267,0.269474,256,216,0,20,False
fabai,000079.png,950,800,133560,9692,0.269474,256,216,0,20,False
fabai,000080.png,1024,1024,730,46,0.250000,256,256,0,0,False
fabai,000081.png,1024,1024,8307,520,0.250000,256,256,0,0,False
fabai,000082.png,1024,1024,2038,126,0.250000,256,256,0,0,False
fabai,000083.png,800,288,40214,4164,0.320000,256,92,0,82,False
fabai,000084.png,800,288,56771,5836,0.320000,256,92,0,82,False
fabai,000085.png,800,288,55906,5795,0.320000,256,92,0,82,False
fabai,000086.png,800,288,3289,340,0.320000,256,92,0,82,False
fabai,000087.png,400,288,15814,6522,0.640000,256,184,0,36,False
fabai,000088.png,400,288,21904,8982,0.640000,256,184,0,36,False
fabai,000089.png,400,288,14753,6040,0.640000,256,184,0,36,False
fabai,000090.png,720,288,12054,1514,0.355556,256,102,0,77,False
fabai,000091.png,720,288,25754,3226,0.355556,256,102,0,77,False
fabai,000092.png,720,288,237,31,0.355556,256,102,0,77,False
fabai,000093.png,720,288,11729,1461,0.355556,256,102,0,77,False
fabai,000094.png,600,576,15419,2807,0.426667,256,246,0,5,False
fabai,000095.png,400,288,20932,8564,0.640000,256,184,0,36,False
fabai,000096.png,400,288,21790,8952,0.640000,256,184,0,36,False
fabai,000097.png,950,800,169888,12368,0.269474,256,216,0,20,False
fabai,000098.png,950,800,169334,12334,0.269474,256,216,0,20,False
fabai,000099.png,950,800,83259,6048,0.269474,256,216,0,20,False
fabai,000100.png,950,800,170224,12393,0.269474,256,216,0,20,False
fabai,000101.png,950,800,170164,12392,0.269474,256,216,0,20,False
fabai,000102.png,950,800,130685,9520,0.269474,256,216,0,20,False
fabai,000103.png,950,800,109126,7932,0.269474,256,216,0,20,False
fabai,000104.png,952,576,108713,7898,0.268908,256,155,0,50,False
fabai,000105.png,688,288,50644,6941,0.372093,256,107,0,74,False
fabai,000106.png,800,288,5095,529,0.320000,256,92,0,82,False
fabai,000107.png,800,288,16450,1666,0.320000,256,92,0,82,False
guoxi,000000.png,952,576,12041,873,0.268908,256,155,0,50,False
guoxi,000001.png,952,576,146161,10560,0.268908,256,155,0,50,False
guoxi,000002.png,600,576,40165,7312,0.426667,256,246,0,5,False
guoxi,000003.png,600,576,131360,23975,0.426667,256,246,0,5,False
guoxi,000004.png,600,576,98599,18021,0.426667,256,246,0,5,False
guoxi,000005.png,600,576,64189,11751,0.426667,256,246,0,5,False
guoxi,000006.png,600,576,42166,7677,0.426667,256,246,0,5,False
guoxi,000007.png,600,576,100037,18233,0.426667,256,246,0,5,False
guoxi,000008.png,600,576,93950,17091,0.426667,256,246,0,5,False
guoxi,000009.png,600,576,95676,17395,0.426667,256,246,0,5,False
guoxi,000010.png,952,576,103945,7479,0.268908,256,155,0,50,False
guoxi,000011.png,768,288,61227,6825,0.333333,256,96,0,80,False
guoxi,000012.png,768,288,54627,6136,0.333333,256,96,0,80,False
guoxi,000013.png,952,576,5773,415,0.268908,256,155,0,50,False
guoxi,000014.png,952,576,10050,729,0.268908,256,155,0,50,False
guoxi,000015.png,952,576,73035,5340,0.268908,256,155,0,50,False
guoxi,000016.png,600,576,18734,3431,0.426667,256,246,0,5,False
guoxi,000017.png,600,576,100614,18350,0.426667,256,246,0,5,False
guoxi,000018.png,952,576,216813,15684,0.268908,256,155,0,50,False
guoxi,000019.png,688,288,7137,985,0.372093,256,107,0,74,False
guoxi,000020.png,448,288,29969,9842,0.571429,256,165,0,45,False
guoxi,000021.png,952,576,55040,3986,0.268908,256,155,0,50,False
guoxi,000022.png,952,576,114505,8273,0.268908,256,155,0,50,False
guoxi,000023.png,952,576,255315,18418,0.268908,256,155,0,50,False
guoxi,000024.png,448,288,26278,8526,0.571429,256,165,0,45,False
guoxi,000025.png,448,288,23512,7776,0.571429,256,165,0,45,False
guoxi,000026.png,448,288,16571,5401,0.571429,256,165,0,45,False
guoxi,000027.png,448,288,5864,1894,0.571429,256,165,0,45,False
guoxi,000028.png,952,576,12170,881,0.268908,256,155,0,50,False
guoxi,000029.png,952,576,86997,6273,0.268908,256,155,0,50,False
guoxi,000030.png,600,576,131354,24004,0.426667,256,246,0,5,False
guoxi,000031.png,600,576,9567,1747,0.426667,256,246,0,5,False
guoxi,000032.png,600,576,50130,9112,0.426667,256,246,0,5,False
guoxi,000033.png,800,288,18344,1890,0.320000,256,92,0,82,False
guoxi,000034.png,800,288,10327,1071,0.320000,256,92,0,82,False
guoxi,000035.png,800,288,20078,2075,0.320000,256,92,0,82,False
guoxi,000036.png,800,288,47519,4883,0.320000,256,92,0,82,False
guoxi,000037.png,800,288,49008,5044,0.320000,256,92,0,82,False
guoxi,000038.png,800,288,69880,7142,0.320000,256,92,0,82,False
guoxi,000039.png,800,288,71758,7439,0.320000,256,92,0,82,False
guoxi,000040.png,720,288,7482,942,0.355556,256,102,0,77,False
guoxi,000041.png,720,288,52780,6671,0.355556,256,102,0,77,False
guoxi,000042.png,720,288,3311,414,0.355556,256,102,0,77,False
guoxi,000043.png,720,288,31628,3953,0.355556,256,102,0,77,False
guoxi,000044.png,720,288,332,39,0.355556,256,102,0,77,False
guoxi,000045.png,952,576,1365,106,0.268908,256,155,0,50,False
guoxi,000046.png,600,576,15138,2766,0.426667,256,246,0,5,False
guoxi,000047.png,688,288,844,123,0.372093,256,107,0,74,False
guoxi,000048.png,600,576,115375,21063,0.426667,256,246,0,5,False
guoxi,000049.png,600,576,121020,22117,0.426667,256,246,0,5,False
guoxi,000050.png,600,576,52890,9630,0.426667,256,246,0,5,False
guoxi,000051.png,600,576,131469,23987,0.426667,256,246,0,5,False
guoxi,000052.png,288,288,8213,6500,0.888889,256,256,0,0,False
guoxi,000053.png,288,288,2411,1929,0.888889,256,256,0,0,False
guoxi,000054.png,288,288,14242,11280,0.888889,256,256,0,0,False
guoxi,000055.png,288,288,13132,10428,0.888889,256,256,0,0,False
guoxi,000056.png,600,576,80042,14565,0.426667,256,246,0,5,False
guoxi,000057.png,600,576,126702,23154,0.426667,256,246,0,5,False
guoxi,000058.png,600,576,125322,22842,0.426667,256,246,0,5,False
guoxi,000059.png,600,576,129887,23777,0.426667,256,246,0,5,False
guoxi,000060.png,600,576,125779,22986,0.426667,256,246,0,5,False
guoxi,000061.png,600,576,124859,22807,0.426667,256,246,0,5,False
guoxi,000062.png,600,576,119576,21837,0.426667,256,246,0,5,False
guoxi,000063.png,600,576,78808,14424,0.426667,256,246,0,5,False
guoxi,000064.png,600,576,3104,575,0.426667,256,246,0,5,False
guoxi,000065.png,600,576,123733,22606,0.426667,256,246,0,5,False
guoxi,000066.png,600,576,120714,22023,0.426667,256,246,0,5,False
guoxi,000067.png,600,576,86857,15852,0.426667,256,246,0,5,False
guoxi,000068.png,600,576,106879,19441,0.426667,256,246,0,5,False
guoxi,000069.png,600,576,96426,17609,0.426667,256,246,0,5,False
guoxi,000070.png,600,576,144259,26330,0.426667,256,246,0,5,False
guoxi,000071.png,600,576,40608,7406,0.426667,256,246,0,5,False
guoxi,000072.png,600,576,134175,24383,0.426667,256,246,0,5,False
guoxi,000073.png,600,576,126514,23138,0.426667,256,246,0,5,False
guoxi,000074.png,600,576,25207,4614,0.426667,256,246,0,5,False
huashang,000000.png,1024,1024,10964,687,0.250000,256,256,0,0,False
huashang,000001.png,1024,1024,14844,926,0.250000,256,256,0,0,False
huashang,000002.png,1024,1024,9189,577,0.250000,256,256,0,0,False
huashang,000003.png,1024,1024,12388,772,0.250000,256,256,0,0,False
huashang,000004.png,1024,1024,12031,751,0.250000,256,256,0,0,False
huashang,000005.png,1024,1024,9238,580,0.250000,256,256,0,0,False
huashang,000006.png,1024,1024,12555,782,0.250000,256,256,0,0,False
huashang,000007.png,1024,1024,11339,708,0.250000,256,256,0,0,False
huashang,000008.png,1024,1024,12779,797,0.250000,256,256,0,0,False
huashang,000009.png,1024,1024,14028,877,0.250000,256,256,0,0,False
huashang,000010.png,1024,1024,13844,865,0.250000,256,256,0,0,False
huashang,000011.png,1024,1024,16213,1014,0.250000,256,256,0,0,False
huashang,000012.png,1024,1024,16343,1022,0.250000,256,256,0,0,False
huashang,000013.png,952,576,9527,679,0.268908,256,155,0,50,False
huashang,000014.png,952,576,10582,751,0.268908,256,155,0,50,False
huashang,000015.png,952,576,9274,669,0.268908,256,155,0,50,False
huashang,000016.png,952,576,3799,270,0.268908,256,155,0,50,False
huashang,000017.png,952,576,4734,344,0.268908,256,155,0,50,False
huashang,000018.png,952,576,3104,225,0.268908,256,155,0,50,False
huashang,000019.png,952,576,1123,81,0.268908,256,155,0,50,False
huashang,000020.png,952,576,6044,449,0.268908,256,155,0,50,False
huashang,000021.png,952,576,936,70,0.268908,256,155,0,50,False
huashang,000022.png,952,576,12802,934,0.268908,256,155,0,50,False
huashang,000023.png,952,576,16706,1203,0.268908,256,155,0,50,False
huashang,000024.png,952,576,8323,628,0.268908,256,155,0,50,False
huashang,000025.png,952,576,7462,546,0.268908,256,155,0,50,False
huashang,000026.png,952,576,12854,913,0.268908,256,155,0,50,False
huashang,000027.png,952,576,11935,860,0.268908,256,155,0,50,False
huashang,000028.png,952,576,3430,248,0.268908,256,155,0,50,False
huashang,000029.png,952,576,2826,204,0.268908,256,155,0,50,False
huashang,000030.png,952,576,2255,171,0.268908,256,155,0,50,False
huashang,000031.png,952,576,5189,368,0.268908,256,155,0,50,False
huashang,000032.png,952,576,1388,105,0.268908,256,155,0,50,False
huashang,000033.png,952,576,3889,280,0.268908,256,155,0,50,False
huashang,000034.png,952,576,4298,308,0.268908,256,155,0,50,False
huashang,000035.png,952,576,3852,276,0.268908,256,155,0,50,False
huashang,000036.png,952,576,2116,153,0.268908,256,155,0,50,False
huashang,000037.png,952,576,4229,296,0.268908,256,155,0,50,False
huashang,000038.png,952,576,6239,493,0.268908,256,155,0,50,False
huashang,000039.png,952,576,7653,563,0.268908,256,155,0,50,False
huashang,000040.png,952,576,9211,673,0.268908,256,155,0,50,False
huashang,000041.png,952,576,3910,314,0.268908,256,155,0,50,False
huashang,000042.png,952,576,5896,428,0.268908,256,155,0,50,False
huashang,000043.png,952,576,2939,207,0.268908,256,155,0,50,False
huashang,000044.png,952,576,5216,380,0.268908,256,155,0,50,False
huashang,000045.png,952,576,3252,243,0.268908,256,155,0,50,False
huashang,000046.png,952,576,3875,283,0.268908,256,155,0,50,False
huashang,000047.png,952,576,17394,1257,0.268908,256,155,0,50,False
huashang,000048.png,952,576,6789,499,0.268908,256,155,0,50,False
huashang,000049.png,952,576,10280,755,0.268908,256,155,0,50,False
huashang,000050.png,952,576,7577,547,0.268908,256,155,0,50,False
huashang,000051.png,952,576,3423,246,0.268908,256,155,0,50,False
huashang,000052.png,952,576,9083,646,0.268908,256,155,0,50,False
huashang,000053.png,952,576,4986,372,0.268908,256,155,0,50,False
huashang,000054.png,952,576,8809,635,0.268908,256,155,0,50,False
huashang,000055.png,952,576,11502,826,0.268908,256,155,0,50,False
huashang,000056.png,952,576,7727,551,0.268908,256,155,0,50,False
huashang,000057.png,952,576,7227,519,0.268908,256,155,0,50,False
huashang,000058.png,1024,1024,5503,348,0.250000,256,256,0,0,False
huashang,000059.png,1024,1024,7253,456,0.250000,256,256,0,0,False
huashang,000060.png,1024,1024,4467,281,0.250000,256,256,0,0,False
huashang,000061.png,1024,1024,4274,275,0.250000,256,256,0,0,False
huashang,000062.png,1024,1024,7757,484,0.250000,256,256,0,0,False
huashang,000063.png,1024,1024,7933,499,0.250000,256,256,0,0,False
huashang,000064.png,1024,1024,7219,449,0.250000,256,256,0,0,False
huashang,000065.png,1024,1024,8649,550,0.250000,256,256,0,0,False
huashang,000066.png,1024,1024,6126,384,0.250000,256,256,0,0,False
huashang,000067.png,1024,1024,8480,531,0.250000,256,256,0,0,False
huashang,000068.png,1024,1024,4168,258,0.250000,256,256,0,0,False
huashang,000069.png,1024,1024,4628,289,0.250000,256,256,0,0,False
huashang,000070.png,1024,1024,6646,414,0.250000,256,256,0,0,False
huashang,000071.png,1024,1024,5461,343,0.250000,256,256,0,0,False
huashang,000072.png,1024,1024,8261,521,0.250000,256,256,0,0,False
huashang,000073.png,1024,1024,6386,405,0.250000,256,256,0,0,False
huashang,000074.png,1024,1024,1422,89,0.250000,256,256,0,0,False
huashang,000075.png,1024,1024,5029,318,0.250000,256,256,0,0,False
huashang,000076.png,1024,1024,8609,537,0.250000,256,256,0,0,False
huashang,000077.png,1024,1024,7046,439,0.250000,256,256,0,0,False
huashang,000078.png,1024,1024,5488,342,0.250000,256,256,0,0,False
huashang,000079.png,1024,1024,11830,737,0.250000,256,256,0,0,False
huashang,000080.png,1024,1024,6152,378,0.250000,256,256,0,0,False
huashang,000081.png,1024,1024,5663,354,0.250000,256,256,0,0,False
huashang,000082.png,1024,1024,11170,699,0.250000,256,256,0,0,False
huashang,000083.png,1024,1024,7033,437,0.250000,256,256,0,0,False
huashang,000084.png,1024,1024,11366,709,0.250000,256,256,0,0,False
huashang,000085.png,1024,1024,10436,650,0.250000,256,256,0,0,False
huashang,000086.png,1024,1024,10621,664,0.250000,256,256,0,0,False
huashang,000087.png,952,576,12523,918,0.268908,256,155,0,50,False
huashang,000088.png,952,576,6958,497,0.268908,256,155,0,50,False
huashang,000089.png,952,576,7258,526,0.268908,256,155,0,50,False
huashang,000090.png,952,576,12371,890,0.268908,256,155,0,50,False
huashang,000091.png,952,576,13490,963,0.268908,256,155,0,50,False
huashang,000092.png,952,576,13996,1051,0.268908,256,155,0,50,False
huashang,000093.png,952,576,5599,412,0.268908,256,155,0,50,False
